movie,sentence,score
마녀(魔女) Part2. The Other One,2 편 망했네요.   1 편보다 많이 부족한...  스토리도 엉성..,2
토르: 러브 앤 썬더,아이맥스로 보니까 정말최고입니다,10
엘비스,"노래 보다는 당시의 상황과, 매니저와의 볼화가 주 내용.단지 끝의 unchained melody 는 좋았어요.ending credit 꼭 보세요",8
헤어질 결심,고품격 사랑과 전쟁 불륜남녀시점,6
헤어질 결심,"미장셴의 향연으로도 모자라서 산, 바위, 손이 함께 말을 거는 극치의 경험",10
디어 헌터,친구와의 러시안 룰렛 빼고는 그닥...,6
탑건: 매버릭,평점 주려고 왔다 와 범죄도시급,10
탑건: 매버릭,탑건 너무 재밌다ㅠㅠㅠㅠ 토르말고 이거 보길 잘한듯,10
헤어질 결심,"미결로 완성된, 뿌옇게 명료해진, 돌이킬 수 없어 영원한.",10
마녀(魔女) Part2. The Other One,욕만 덜 해도 더 재밌었을듯,6
헤어질 결심,이영화를 보고 나의 마음이 붕괴됐어요,4
탑건: 매버릭,진짜 영화관에서 봐야하는 이유 그 자체,10
RRR: 라이즈 로어 리볼트,발리우드 액션의 진수를 보여주고 인도의 독립투쟁에 대한 자부심도 과감하게 드러낸다..두 전사의 춤도 전투적인데 액션보다 더 힘들듯..^&amp;^,9
토르: 러브 앤 썬더,시트콤 좋아하는 사람 보시죠하루 종일 웃기기만 하려고 하고진지하다가 한번씩 웃겨야 재미있는거지시간 아깝네,1
미션 임파서블 2,영화 개뿔 모르면서 뭐좀 아는거처럼 별점테러 하는 구린것들ㅉㅉ암만 지이랄해도 그해 흥행 1위했던 영화다ㅋㅋㅋㅋ같잖아서 진짜 ,8
탑건: 매버릭,"톰 크루즈, 제니퍼 코넬리 이름값 때문에 보는 엄청 과대평과된 영화.. 추억 보정, 추억 팔이를 위한 영화라는 느낌이 들어요.. 내용 전개 보면 너무 뻔하고 현실성 제로인 완전 주인공 보정에.. 물론 영화니까 영화적 설정을 감안하고 봐야하지만... 내용 지루한 부분도 많고, 중후반부에 조종기 날라다니는 장면들만 재밌네요. 이 영화는 딱 조종기 운행하고 조종기 날라다니고 뭐 폭발시키는 그 장면만 볼 만한거 같아요... 돈 주고 보기 아까운 영화.. 그냥 집에서 영화 채널에서 보면 괜찮을 영화.. 보다가 여러번 졸았어요...  이 영화가 톰 크루즈가 아니었다면 과연 흥행이나 했을지 의문",1
죽은 시인의 사회,대사하나하나 인생을 먼저 살아보고 개척해본 사람들이 다음세대에 전해주고 싶은 이야기를 넣었다는게 느껴져요,10
헤어질 결심,간만에 접한 수작...마침내..박찬욱표 멜로란 이런것. 아련하면서도 무서울 정도로 치밀한...한동안 헤어질결심에 빠져서..일상으로 돌아오는데 시간이 좀 걸릴거 같다.. ,10
더 킬러: 죽어도 되는 아이,앧션 영화 꼭 보세요 ! 꼭 !!!,10
탑건: 매버릭,감동적이엿음    연기력좋앗음,10
탑건: 매버릭,감동적이엿음    연기력좋앗음,10
엘비스,주인공의 연기에... 그리고 눈빛에 홀렷어요.... 진짜 엘비스 그대로 데려온느낌이엇습니다 2차 갈예정입니다 ㅜㅜㅜ너무 재밋어요,10
탑건: 매버릭,머싰다머싰다머싰다머싰다,10
데스 노트,실사화한 일본 영화중 볼만함,8
토르: 러브 앤 썬더,크리스찬베일이 나오다니.평점이 낮아서 안보려다 갔는데 크리스찬베일 대박,8
엘비스,2편으로 완성도를 높여야 했다 편집을 얼마나 한거냐 중요한 순간이 나오지 않는다 당대 스타 가수 등장이 없고 세계의 시선도 없다 배우자 만남 엄마의 죽음 영화진출 수상장면 등등주인공 시점으로 했다면 좋았을텐데 옛모습 보는 것이 좋다,6
쥬라기 월드: 도미니언,"평점이 7점???  평점2점.개연성은 모든게 간단하게 설명이 되며 운연의 일치가 영화 전반에 깔려있다.긴장감을 보여주려는 연출이 많았는데 정작 긴장감이 없다.별7점 짜리는 도저히 안되고, 많이 줘도 4점정도",2
닥터 스트레인지: 대혼돈의 멀티버스,실망스러운 속편의 전형적인 예,4
핸썸,많이 아쉽긴  하네요  ,6
고스트버스터즈 라이즈,40대 이후분들만 보세요~~추억돋는데 최고!혼자 신나서 봤슴...가족들이랑보면 혼남 ㅋㅋ,10
토르: 러브 앤 썬더,실망스러운 속편의 전형,4
명탐정 코난: 할로윈의 신부,코난은 언제 러시아어까지 마스터한걸까,10
봉오동 전투,일본군대 상대로 시원하게 이기는 모습이 좋았어요 ,10
연애 빠진 로맨스,보는내내 미소짓게 되고 좋았음 올만에 로코 조탕,10
명탐정 코난: 할로윈의 신부,"bgm이 들어오는 타이밍이나 상황연출이 아주 좋았고, 특히 죽은 경찰관계자의 행적을 되짚어가며 사건을 풀어나가는 방식이 일본 형사드라마 등 수사물 일드와 유사한 흐름이었다고 생각함.",10
더 킬러: 죽어도 되는 아이,장혁은 한국의 톰 크루즈다액션이 진짜 지리고 봐도봐도 질리지않음 어쩜저렇게 멋있냐,10
월플라워,별 기대안하고 봤다가..  굿 힐링됐음!,10
탑건: 매버릭,감동적인 영화. 1편을 꼭 미리 보고 보아야 제대로 감상할 수 있음.,10
킬링 카인드: 킬러의 수제자,이딴게 넷플릭스 오늘의 한국 영화 1위...? 넷플은 주가 더 떨어져야한다.,1
토르: 러브 앤 썬더,킬링타임으로 괜찮았습니다~토르가 사람을 대할때 팔거리 유지한다는 유머라던지 제인이 암에대해서 4기이후로 아직 더있을지도모른다는 말장난 그루트에 비웃는말투 ,7
탑건: 매버릭,긴장하고 보다가 목에 담 올뻔.. 손에 땀을 쥐게 하는 연출과 나이를 믿을 수 없는 탐크루즈 멋있고 스토리 재밌고 건전함. 최근에 본 영화중에 최고입니다.  오랜만에 돈 안아까운 여운이 남는 영화 .. ,10
탑건: 매버릭,솔직하게 재미없다 돈 아까웠다,2
헤어질 결심,모든 장면과 대사에 집중해야하는 영화. 놓칠게 단 하나도 없었다. 복선과 상징을 연결하는 재미가 쏠쏠했다. 분석좋아하시는 사람은 정말 미치도록 재미있는 영화가 될것임. 연출도 말할필요가 없음.,10
마녀(魔女) Part2. The Other One,재밌게봤음 그렇게 욕할정도까진아니라고봄 ,7
헤어질 결심,영화를 보고 몇일이 지났지만 잔상이 남아 자꾸생각나고 또 보고싶음 ,10
더 킬러: 죽어도 되는 아이,생각보다 액션이 좋았습니다. 전개가 빨라서 우리나라사람들에겐 취저일듯… 다소 B급영화로 비춰질만하나 개인적으로 볼만했습니다.,9
어카운턴트,좋아요.^^~.ㅎㅎ,10
탑건: 매버릭,간만에 몰입해서봤다,9
그레이 맨,트램 시퀀스 미침,6
목소리의 형태,감동적인 스토리에 표현이 참신 나타내는 색상도 마음에든다.,9
핸썸,평점 단 사람들 기봉이 같은 웃음을 생각하고 많이들 보신듯.. 저도 기대를 해서 그런지 실망스러웠네요. 그렇다고 평점 1점 줄 정도는 아니고ㅋ 중간에 웃긴장면도 있었어요. 내돈 내고 표안끊어서 5점드림 ㅋㅋㅋㅋ,5
탑건: 매버릭,4DX로 관람하고 왔습니다 마지막 실제 작전 투입 비행씬에서 손잡이 꽉 붙들고 눈물 나는 걸 꾹 참고 봤네요 그만..제발 그만 쏘라고~~~~!! 꼭 4DX 로 한번 더 보세요,10
토르: 러브 앤 썬더,기대가 컸는데 안타깝게도 마블 영화 중에서 제일 졸렸던 영화.. 아 캡틴마블은 안봐서 거름,4
탑건: 매버릭,진짜 그냥 미쳤고 미쳤다,10
토르: 러브 앤 썬더,평가 구린거 치고는 가볍게 봐서 그런가 볼만하던데 ..? 닥터 스트레인지 보다는 훨씬 나았음,10
럭키,내인생 최악의 영화  영화보고 화병을 얻었어요  삼류영화도 이렇게 안만들겠다 ,2
핸썸,한국영화의 수준 전라도 수준의 개막장임,1
명탐정 코난: 할로윈의 신부,마지막까지 재밌는 스토리였다.. 최근에 나온 코난 극장판 중에선 단연 최고. 벌써 두 번이나 보고왔다. 한 번 더 보고 올 것이다.,10
헤어질 결심,&amp;#34;자부심이 있는 꼿꼿한 삶&amp;#34;,10
탑건: 매버릭,이 영화보고 재미없다는 사람은 그냥 무인도에 들어가서 혼자 살아라 ,10
퍼펙트맨,진빼이 인정? 진빼이 인정!,10
명탐정 코난: 할로윈의 신부,주제가 끝나고 다음 극장판을 부르는 명대사가 좋음날아다니거나 축구공 이용하는 건 비현실적임,6
탑건: 매버릭,역시는 역시였다~~1편 찾아서 다시 봐야겠어요.,10
탑건: 매버릭,오래간만에 영화관에서 꼭 봐야하는 영화를 봤음,10
탑건: 매버릭,진짜재미없네 이거재미있다는정신병자도있냐?,1
토르: 러브 앤 썬더,유치하고 대사와 대사 사이가 뭔가 전부 뚝뚝 끊겨있는 느낌... 크리스찬베일의 연기력이 아까웠다,5
주(咒),이정도면 재미있어요~ 연출 스토리 나쁘지 않은듯 합니다.,10
탑건: 매버릭,진짜 이건 봐도 후회안함,10
탑건: 매버릭,박 평 식 만 점 주 라 주 라 주 라,10
토르: 러브 앤 썬더,실망 그 자체,5
로스트 도터,모성이란 단어 자체가 육아의 책임을 특정 성별에 더 무겁게 지으려는 전통과 생활양식에 충실히 복무하고 있지 아니한가. 모성은 어째 부성이랑 어감이 많이 다르게 느껴진다. 따뜻하고 부드럽고 포근하지 않다고 하면 이상하게 느껴지는 말로 내게 주입된. 모성과 부성의 경중을 따지자는 게 아니고(경중이야 동일하지..) 어감이 그렇다는 거다.,9
탑건: 매버릭,개좋아 ㅁㅊ진짜 ㅈㄴ좋아 죽고5ㅐㅎ요,10
